x,y,z,marker
8.87,-5.02,-34.812,0
9.081,-86.261,-35.046,1
-7.679,14.485,-22.189,2
-10.267,-98.105,-51.1,3
8.871,-5.015,-34.814,0
9.068,-86.262,-35.061,1
-7.692,14.484,-22.184,2
-10.269,-98.096,-51.104,3
8.863,-5.01,-34.817,0
9.072,-86.266,-35.056,1
-7.691,14.489,-22.183,2
-10.268,-98.084,-51.104,3
8.865,-5.001,-34.814,0
9.067,-86.266,-35.065,1
-7.682,14.496,-22.182,2
-10.259,-98.075,-51.102,3
8.865,-4.999,-34.812,0
9.054,-86.271,-35.07,1
-7.688,14.504,-22.175,2
-10.259,-98.072,-51.103,3
8.864,-4.99,-34.811,0
9.051,-86.274,-35.071,1
-7.693,14.516,-22.165,2
-10.268,-98.071,-51.104,3
8.832,-4.969,-34.817,0
9.048,-86.27,-35.073,1
-7.7,14.518,-22.172,2
-10.273,-98.071,-51.104,3
8.828,-4.942,-34.818,0
9.042,-86.279,-35.076,1
-7.715,14.51,-22.176,2
-10.266,-98.077,-51.1,3
8.823,-4.93,-34.821,0
9.041,-86.276,-35.083,1
-7.716,14.515,-22.173,2
-10.261,-98.078,-51.101,3
8.822,-4.919,-34.816,0
9.015,-86.283,-35.088,1
-7.714,14.512,-22.177,2
-10.253,-98.082,-51.099,3
8.823,-4.916,-34.818,0
9.013,-86.3,-35.082,1
-7.711,14.513,-22.176,2
-10.247,-98.081,-51.097,3
8.821,-4.925,-34.814,0
8.98,-86.293,-35.093,1
-7.712,14.515,-22.177,2
-10.237,-98.085,-51.094,3
8.812,-4.922,-34.816,0
8.979,-86.306,-35.089,1
-7.704,14.519,-22.178,2
-10.227,-98.09,-51.092,3
8.81,-4.925,-34.819,0
8.983,-86.293,-35.086,1
-7.701,14.518,-22.178,2
-10.22,-98.093,-51.09,3
8.815,-4.928,-34.819,0
8.994,-86.298,-35.089,1
-7.698,14.518,-22.179,2
-10.209,-98.098,-51.087,3
8.818,-4.932,-34.818,0
9,-86.301,-35.087,1
-7.696,14.518,-22.182,2
-10.201,-98.099,-51.086,3
8.813,-4.928,-34.818,0
9.003,-86.306,-35.077,1
-7.695,14.524,-22.183,2
-10.19,-98.097,-51.086,3
8.813,-4.923,-34.82,0
8.997,-86.301,-35.079,1
-7.693,14.526,-22.182,2
-10.18,-98.105,-51.083,3
8.815,-4.919,-34.823,0
9,-86.295,-35.077,1
-7.693,14.526,-22.183,2
-10.171,-98.104,-51.084,3
8.821,-4.919,-34.82,0
8.993,-86.291,-35.071,1
-7.699,14.524,-22.182,2
