0	A	A	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.325	1
1	T	T	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.5	1
2	A	A	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.5	2
3	A	T	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.5	2
4	A	T	0.075	0.075	0.125	0.125	0.125	-0.325	0	0.5	1
5	A	A	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.5	1
6	T	A	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.325	1
7	A	A	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.325	1
8	A	A	0.075	0.075	0.125	0.125	0.125	-0.325	0	0.5	1
9	T	A	0.075	0.075	0.125	0.125	0.125	-0.325	0	0.5	1
10	A	A	0.075	0.075	0.125	0.125	0.125	-0.325	0	0.325	1
11	A	T	0.075	0.075	0.125	0.125	0.125	-0.325	0	0.325	1
12	A	T	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.5	1
13	T	A	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.5	1
14	T	A	0.075	0.075	0.125	0.125	0.125	-0.325	0	0.325	1
15	A	T	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.325	1
16	A	T	0.075	0.075	0.125	0.125	0.125	-0.325	0	0.325	2
17	T	A	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.325	2
18	T	A	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.5	2
19	A	A	0.075	0.075	0.125	0.125	0.125	-0.325	0	0.5	2
20	T	A	0.075	0.075	0.125	0.125	0.125	-0.325	0	0.5	2
21	A	T	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.325	2
22	A	A	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.325	2
23	A	A	0.075	0.075	0.125	0.125	0.125	-0.325	0	0.325	2
24	T	A	0.075	0.075	0.125	0.125	0.125	-0.325	0	0.325	2
25	A	T	0.075	0.075	0.125	0.125	0.125	-0.325	0	0.5	2
26	A	A	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.5	2
27	A	T	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.5	2
